'bamb_1b', 0, '1_5', 'gg_bamb_1b', 'cs_bamb_1b', 'cs_a', 'cs_b', 7930000, 0, 65543, 'バンブー', 'バンブー', 0, 0, 0, 'ha_bamb_1b', 270481475, 0, 0, 0, 0, 1
'judy_1a', 0, '1_5', 'gg_judy_1a', 'cs_judy_1a', 'cs_a', 'cs_b', 7405693, 0, 3, 'ジュディ', 'ジュディ', 77, 0, 0, 'ha_judy_1a', 270481475, 0, 0, 0, 0, 1
'judy_1b', 0, '1_5', 'gg_judy_1b', 'cs_judy_1b', 'cs_a', 'cs_b', 7405693, 0, 65539, 'ジュディ', 'ジュディ', 77, 0, 0, 'ha_judy_1b', 270481475, 0, 0, 0, 0, 1
'king_1a', 0, '1_5', 'gg_king_1a', 'cs_king_1a', 'cs_a', 'cs_b', 2097319, 0, 4, 'キング', 'キング', 0, 0, 0, 'ha_king_1a', 270481475, 0, 0, 0, 0, 1
'king_1b', 0, '1_5', 'gg_king_1b', 'cs_king_1b', 'cs_a', 'cs_b', 2097319, 0, 65540, 'キング', 'キング', 0, 0, 0, 'ha_king_1b', 270481475, 0, 0, 0, 0, 1
'kraf_1a', 0, '1_5', 'gg_kraf_1a', 'cs_kraf_1a', 'cs_a', 'cs_b', 4915325, 0, 16, 'クラフト', 'クラフト', 0, 0, 0, 'ha_kraf_1a', 270481475, 0, 0, 0, 0, 1
'kraf_1b', 0, '1_5', 'gg_kraf_1b', 'cs_kraf_1b', 'cs_a', 'cs_b', 4915325, 0, 65552, 'クラフト', 'クラフト', 0, 0, 0, 'ha_kraf_1b', 270481475, 0, 0, 0, 0, 1
'mary_1a', 0, '1_5', 'gg_mary_1a', 'cs_mary_1a', 'cs_a', 'cs_b', 9175165, 0, 2, 'マリィ', 'マリィ', 0, 0, 0, 'ha_mary_1a', 270481475, 0, 0, 0, 0, 1
'mary_1b', 0, '1_5', 'gg_mary_1b', 'cs_mary_1b', 'cs_a', 'cs_b', 9175165, 0, 65538, 'マリィ', 'マリィ', 0, 0, 0, 'ha_mary_1b', 270481475, 0, 0, 0, 0, 1
'mimi_1a', 0, '1_5', 'gg_mimi_1a', 'cs_mimi_1a', 'cs_a', 'cs_b', 5767297, 0, 0, 'ミミ', 'ミミ', 0, 0, 0, 'ha_mimi_1a', 270481475, 0, 0, 0, 0, 1
'mimi_1b', 0, '1_5', 'gg_mimi_1b', 'cs_mimi_1b', 'cs_a', 'cs_b', 5767297, 0, 65536, 'ミミ', 'ミミ', 0, 0, 0, 'ha_mimi_1b', 270481475, 0, 0, 0, 0, 1
'nyam_1a', 0, '1_5', 'gg_nyam_1a', 'cs_nyam_1a', 'cs_a', 'cs_b', 5963896, 0, 1, 'ニャミ', 'ニャミ', 0, 0, 0, 'ha_nyam_1a', 270481475, 0, 0, 0, 0, 1
'nyam_1b', 0, '1_5', 'gg_nyam_1b', 'cs_nyam_1b', 'cs_a', 'cs_b', 5963896, 0, 65537, 'ニャミ', 'ニャミ', 0, 0, 0, 'ha_nyam_1b', 270481475, 0, 0, 0, 0, 1
'oliv_1a', 0, '1_5', 'gg_oliv_1a', 'cs_oliv_1a', 'cs_a', 'cs_b', 5963930, 0, 22, 'オリビア', 'オリビア', 0, 0, 0, 'ha_oliv_1a', 270481475, 0, 0, 0, 0, 1
'oliv_1b', 0, '1_5', 'gg_oliv_1b', 'cs_oliv_1b', 'cs_a', 'cs_b', 5963930, 0, 65558, 'オリビア', 'オリビア', 0, 0, 0, 'ha_oliv_1b', 270481475, 0, 0, 0, 0, 1
'rave_1a', 0, '1_5', 'gg_rave_1a', 'cs_rave_1a', 'cs_a', 'cs_b', 8781941, 0, 9, 'レイヴガール', 'レイヴガール', 0, 0, 0, 'ha_rave_1a', 270481475, 0, 0, 0, 0, 1
'rave_1b', 0, '1_5', 'gg_rave_1b', 'cs_rave_1b', 'cs_a', 'cs_b', 8781941, 0, 65545, 'レイヴガール', 'レイヴガール', 0, 0, 0, 'ha_rave_1b', 270481475, 0, 0, 0, 0, 1
'rie_1a', 0, '1_5', 'gg_rie_1a', 'cs_rie_1a', 'cs_a', 'cs_b', 5374097, 0, 5, 'リエチャン', 'リエ囿ちゃん', 0, 0, 0, 'ha_rie_1a', 270481475, 0, 0, 0, 0, 1
'rie_1b', 0, '1_5', 'gg_rie_1b', 'cs_rie_1b', 'cs_a', 'cs_b', 5374097, 0, 65541, 'リエチャン', 'リエ囿ちゃん', 0, 0, 0, 'ha_rie_1b', 270481475, 0, 0, 0, 0, 1
'sana_1a', 0, '1_5', 'gg_sana_1a', 'cs_sana_1a', 'cs_a', 'cs_b', 6422662, 0, 6, 'サナエチャン', 'さなえ囿ちゃん', 0, 0, 0, 'ha_sana_1a', 270481475, 0, 0, 0, 0, 1
'sana_1b', 0, '1_5', 'gg_sana_1b', 'cs_sana_1b', 'cs_a', 'cs_b', 6422662, 0, 65542, 'サナエチャン', 'さなえ囿ちゃん', 0, 0, 0, 'ha_sana_1b', 270481475, 0, 0, 0, 0, 1
'shol_1a', 1024, '1_5', 'gg_shol_1a', 'cs_shol_1a', 'cs_a', 'cs_b', 6226040, 0, 12, 'ショルキー', 'ショルキー', 0, 0, 0, 'ha_shol_1a', 270481475, 0, 0, 0, 0, 1
'shol_1b', 1024, '1_5', 'gg_shol_1b', 'cs_shol_1b', 'cs_a', 'cs_b', 6226040, 0, 65548, 'ショルキー', 'ショルキー', 0, 0, 0, 'ha_shol_1b', 270481475, 0, 0, 0, 0, 1
'toru_1a', 0, '1_5', 'gg_toru_1a', 'cs_toru_1a', 'cs_a', 'cs_b', 7340187, 0, 39, 'カミカゼトオル', '神風トオル', 0, 0, 0, 'ha_toru_1a', 270481475, 0, 0, 0, 0, 1
'toru_1b', 0, '1_5', 'gg_toru_1b', 'cs_toru_1b', 'cs_a', 'cs_b', 7340187, 0, 65575, 'カミカゼトオル', '神風トオル', 0, 0, 0, 'ha_toru_1b', 270481475, 0, 0, 0, 0, 1
'dami_2a', 0, '1_5', 'gg_dami_2a', 'cs_dami_2a', 'cs_a', 'cs_b', 6291581, 0, 40, 'ダミヤン', 'ダミやん', 0, 0, 0, 'ha_dami_2a', 270481475, 0, 0, 0, 0, 2
'dami_2b', 0, '1_5', 'gg_dami_2b', 'cs_dami_2b', 'cs_a', 'cs_b', 6291581, 0, 65576, 'ダミヤン', 'ダミやん', 0, 0, 0, 'ha_dami_2b', 270481475, 0, 0, 0, 0, 2
'hiro_2a', 0, '1_5', 'gg_hiro_2a', 'cs_hiro_2a', 'cs_a', 'cs_b', 5832804, 0, 43, 'ジングウヒロシ', '神宮ヒロシ', 0, 0, 0, 'ha_hiro_2a', 270481475, 0, 0, 0, 0, 2
'hiro_2b', 0, '1_5', 'gg_hiro_2b', 'cs_hiro_2b', 'cs_a', 'cs_b', 5832804, 0, 65579, 'ジングウヒロシ', '神宮ヒロシ', 0, 0, 0, 'ha_hiro_2b', 270481475, 0, 0, 0, 0, 2
'judy_2a', 0, '1_5', 'gg_judy_2a', 'cs_judy_2a', 'cs_a', 'cs_b', 5963861, 0, 131075, 'ジュディ', 'ジュディ', 0, 0, 0, 'ha_judy_2a', 270481475, 0, 0, 0, 0, 2
'judy_2b', 0, '1_5', 'gg_judy_2b', 'cs_judy_2b', 'cs_a', 'cs_b', 5963861, 0, 196611, 'ジュディ', 'ジュディ', 0, 0, 0, 'ha_judy_2b', 270481475, 0, 0, 0, 0, 2
'karl_2a', 0, '1_5', 'gg_karl_2a', 'cs_karl_2a', 'cs_a', 'cs_b', 5242996, 0, 41, 'カーリー', 'カーリー', 0, 0, 0, 'ha_karl_2a', 270481475, 0, 0, 0, 0, 2
'karl_2b', 0, '1_5', 'gg_karl_2b', 'cs_karl_2b', 'cs_a', 'cs_b', 5242996, 0, 65577, 'カーリー', 'カーリー', 0, 0, 0, 'ha_karl_2b', 270481475, 0, 0, 0, 0, 2
'king_2a', 0, '1_5', 'gg_king_2a', 'cs_king_2a', 'cs_a', 'cs_b', 10223746, 0, 131076, 'キング', 'キング', 0, 0, 0, 'ha_king_2a', 270481475, 0, 0, 0, 0, 2
'king_2b', 0, '1_5', 'gg_king_2b', 'cs_king_2b', 'cs_a', 'cs_b', 10223746, 0, 196612, 'キング', 'キング', 0, 0, 0, 'ha_king_2b', 270481475, 0, 0, 0, 0, 2
'koko_2a', 0, '1_5', 'gg_koko_2a', 'cs_koko_2a', 'cs_a', 'cs_b', 7143560, 0, 42, 'ココ', 'ココ', 0, 0, 0, 'ha_koko_2a', 270481475, 0, 0, 0, 0, 2
'koko_2b', 0, '1_5', 'gg_koko_2b', 'cs_koko_2b', 'cs_a', 'cs_b', 7143560, 0, 65578, 'ココ', 'ココ', 0, 0, 0, 'ha_koko_2b', 270481475, 0, 0, 0, 0, 2
'kraf_2a', 0, '1_5', 'gg_kraf_2a', 'cs_kraf_2a', 'cs_a', 'cs_b', 8192151, 0, 131088, 'クラフト？', 'クラフト？', 0, 0, 0, 'ha_kraf_2a', 270481475, 0, 0, 0, 0, 2
'kraf_2b', 0, '1_5', 'gg_kraf_2b', 'cs_kraf_2b', 'cs_a', 'cs_b', 8192151, 0, 196624, 'クラフト？', 'クラフト？', 0, 0, 0, 'ha_kraf_2b', 270481475, 0, 0, 0, 0, 2
'mary_2a', 0, '1_5', 'gg_mary_2a', 'cs_mary_2a', 'cs_a', 'cs_b', 6684793, 0, 131074, 'マリィ', 'マリィ', 0, 0, 0, 'ha_mary_2a', 270481475, 0, 0, 0, 0, 2
'mary_2b', 0, '1_5', 'gg_mary_2b', 'cs_mary_2b', 'cs_a', 'cs_b', 6684793, 0, 196610, 'マリィ', 'マリィ', 0, 0, 0, 'ha_mary_2b', 270481475, 0, 0, 0, 0, 2
'mimi_2a', 0, '1_5', 'gg_mimi_2a', 'cs_mimi_2a', 'cs_a', 'cs_b', 7405700, 0, 131072, 'ミミ', 'ミミ', 0, 0, 0, 'ha_mimi_2a', 270481475, 0, 0, 0, 0, 2
'mimi_2b', 0, '1_5', 'gg_mimi_2b', 'cs_mimi_2b', 'cs_a', 'cs_b', 7405700, 0, 196608, 'ミミ', 'ミミ', 0, 0, 0, 'ha_mimi_2b', 270481475, 0, 0, 0, 0, 2
'mzd_2a', 0, '1_5', 'gg_mzd_2a', 'cs_mzd_2a', 'cs_a', 'cs_b', 6422604, 0, 11, 'ＭＺＤ', 'ＭＺＤ', 0, 0, 0, 'ha_mzd_2a', 270481475, 0, 0, 0, 0, 2
'mzd_2b', 0, '1_5', 'gg_mzd_2b', 'cs_mzd_2b', 'cs_a', 'cs_b', 6422604, 0, 65547, 'ＭＺＤ', 'ＭＺＤ', 0, 0, 0, 'ha_mzd_2b', 270481475, 0, 0, 0, 0, 2
'nyam_2a', 0, '1_5', 'gg_nyam_2a', 'cs_nyam_2a', 'cs_a', 'cs_b', 5570711, 0, 131073, 'ニャミ', 'ニャミ', 0, 0, 0, 'ha_nyam_2a', 270481475, 0, 0, 0, 0, 2
'nyam_2b', 0, '1_5', 'gg_nyam_2b', 'cs_nyam_2b', 'cs_a', 'cs_b', 5570711, 0, 196609, 'ニャミ', 'ニャミ', 0, 0, 0, 'ha_nyam_2b', 270481475, 0, 0, 0, 0, 2
'reo_2a', 0, '1_5', 'gg_reo_2a', 'cs_reo_2a', 'cs_a', 'cs_b', 7340127, 0, 23, 'レオクン', 'レオくん', 0, 0, 0, 'ha_reo_2a', 270481475, 0, 0, 0, 0, 2
'reo_2b', 0, '1_5', 'gg_reo_2b', 'cs_reo_2b', 'cs_a', 'cs_b', 7340127, 0, 65559, 'レオクン', 'レオくん', 0, 0, 0, 'ha_reo_2b', 270481475, 0, 0, 0, 0, 2
'rie_2a', 0, '1_5', 'gg_rie_2a', 'cs_rie_2a', 'cs_a', 'cs_b', 6553742, 0, 131077, 'リエチャン', 'リエ囿ちゃん', 0, 0, 0, 'ha_rie_2a', 270481475, 0, 0, 0, 0, 2
'rie_2b', 0, '1_5', 'gg_rie_2b', 'cs_rie_2b', 'cs_a', 'cs_b', 6553742, 0, 196613, 'リエチャン', 'リエ囿ちゃん', 0, 0, 0, 'ha_rie_2b', 270481475, 0, 0, 0, 0, 2
's8ta_2a', 0, '1_5', 'gg_s8ta_2a', 'cs_s8ta_2a', 'cs_a', 'cs_b', 9109630, 0, 17, 'Ｓ．８．タロウ', 'Ｓ．８．タロウ', 0, 0, 0, 'ha_s8ta_2a', 270481475, 0, 0, 0, 0, 2
's8ta_2b', 0, '1_5', 'gg_s8ta_2b', 'cs_s8ta_2b', 'cs_a', 'cs_b', 9109630, 0, 65553, 'Ｓ．８．タロウ', 'Ｓ．８．タロウ', 0, 0, 0, 'ha_s8ta_2b', 270481475, 0, 0, 0, 0, 2
'sana_2a', 0, '1_5', 'gg_sana_2a', 'cs_sana_2a', 'cs_a', 'cs_b', 5701752, 0, 131078, 'サナエチャン', 'さなえ囿ちゃん', 0, 0, 0, 'ha_sana_2a', 270481475, 0, 0, 0, 0, 2
'sana_2b', 0, '1_5', 'gg_sana_2b', 'cs_sana_2b', 'cs_a', 'cs_b', 5701752, 0, 196614, 'サナエチャン', 'さなえ囿ちゃん', 0, 0, 0, 'ha_sana_2b', 270481475, 0, 0, 0, 0, 2
'sugi_2a', 0, '1_5', 'gg_sugi_2a', 'cs_sugi_2a', 'cs_a', 'cs_b', 6619263, 0, 20, 'スギクン', 'スギくん', 0, 0, 0, 'ha_sugi_2a', 270481475, 0, 0, 0, 0, 2
'sugi_2b', 0, '1_5', 'gg_sugi_2b', 'cs_sugi_2b', 'cs_a', 'cs_b', 6619263, 0, 65556, 'スギクン', 'スギくん', 0, 0, 0, 'ha_sugi_2b', 270481475, 0, 0, 0, 0, 2
'time_2a', 0, '1_5', 'gg_time_2a', 'cs_time_2a', 'cs_a', 'cs_b', 9306246, 0, 24, 'タイマー', 'タイマー', 0, 0, 0, 'ha_time_2a', 270481475, 0, 0, 0, 0, 2
'time_2b', 0, '1_5', 'gg_time_2b', 'cs_time_2b', 'cs_a', 'cs_b', 9306246, 0, 65560, 'タイマー', 'タイマー', 0, 0, 0, 'ha_time_2b', 270481475, 0, 0, 0, 0, 2
'trum_2a', 0, '1_5', 'gg_trum_2a', 'cs_trum_2a', 'cs_a', 'cs_b', 7143520, 0, 14, 'トルマリン', 'トルマリン', 0, 0, 0, 'ha_trum_2a', 270481475, 0, 0, 0, 0, 2
'trum_2b', 0, '1_5', 'gg_trum_2b', 'cs_trum_2b', 'cs_a', 'cs_b', 7143520, 0, 65550, 'トルマリン', 'トルマリン', 0, 0, 0, 'ha_trum_2b', 270481475, 0, 0, 0, 0, 2
'yuli_2a', 0, '1_5', 'gg_yuli_2a', 'cs_yuli_2a', 'cs_a', 'cs_b', 3866732, 0, 15, 'ユーリ', 'ユーリ', 0, 0, 0, 'ha_yuli_2a', 270481475, 0, 0, 0, 0, 2
'yuli_2b', 0, '1_5', 'gg_yuli_2b', 'cs_yuli_2b', 'cs_a', 'cs_b', 3866732, 0, 65551, 'ユーリ', 'ユーリ', 0, 0, 0, 'ha_yuli_2b', 270481475, 0, 0, 0, 0, 2
'ash_3a', 0, '1_5', 'gg_ash_3a', 'cs_ash_3a', 'cs_a', 'cs_b', 6291584, 0, 8, 'アッシュ', 'アッシュ', 0, 0, 0, 'ha_ash_3a', 270481475, 0, 0, 0, 0, 3
'ash_3b', 0, '1_5', 'gg_ash_3b', 'cs_ash_3b', 'cs_a', 'cs_b', 6291584, 0, 65544, 'アッシュ', 'アッシュ', 0, 0, 0, 'ha_ash_3b', 270481475, 0, 0, 0, 0, 3
'aya_3a', 0, '1_5', 'gg_aya_3a', 'cs_aya_3a', 'cs_a', 'cs_b', 6226003, 0, 13, 'アヤ', 'アヤ', 0, 0, 0, 'ha_aya_3a', 270481475, 0, 0, 0, 0, 3
'aya_3b', 0, '1_5', 'gg_aya_3b', 'cs_aya_3b', 'cs_a', 'cs_b', 6226003, 0, 65549, 'アヤ', 'アヤ', 0, 0, 0, 'ha_aya_3b', 270481475, 0, 0, 0, 0, 3
'bamb_3a', 0, '1_5', 'gg_bamb_3a', 'cs_bamb_3a', 'cs_a', 'cs_b', 6488237, 0, 47, 'バンブー？', 'バンブー？', 0, 0, 0, 'ha_bamb_3a', 270481475, 0, 0, 0, 0, 3
'bamb_3b', 0, '1_5', 'gg_bamb_3b', 'cs_bamb_3b', 'cs_a', 'cs_b', 6488237, 0, 65583, 'バンブー？', 'バンブー？', 0, 0, 0, 'ha_bamb_3b', 270481475, 0, 0, 0, 0, 3
'cand_3a', 0, '1_5', 'gg_cand_3a', 'cs_cand_3a', 'cs_a', 'cs_b', 6815871, 0, 44, 'キャンディ', 'キャンディ', 0, 0, 0, 'ha_cand_3a', 270481475, 0, 0, 0, 0, 3
'cand_3b', 0, '1_5', 'gg_cand_3b', 'cs_cand_3b', 'cs_a', 'cs_b', 6815871, 0, 65580, 'キャンディ', 'キャンディ', 0, 0, 0, 'ha_cand_3b', 270481475, 0, 0, 0, 0, 3
'cybe_3a', 0, '1_5', 'gg_cybe_3a', 'cs_cybe_3a', 'cs_a', 'cs_b', 5177471, 0, 18, 'サイバー', 'サイバー', 0, 0, 0, 'ha_cybe_3a', 270481475, 0, 0, 0, 0, 3
'cybe_3b', 0, '1_5', 'gg_cybe_3b', 'cs_cybe_3b', 'cs_a', 'cs_b', 5177471, 0, 65554, 'サイバー', 'サイバー', 0, 0, 0, 'ha_cybe_3b', 270481475, 0, 0, 0, 0, 3
'dia_3a', 0, '1_5', 'gg_dia_3a', 'cs_dia_3a', 'cs_a', 'cs_b', 5898384, 0, 45, 'ダイヤ', 'ダイヤ', 0, 0, 0, 'ha_dia_3a', 270481475, 0, 0, 0, 0, 3
'dia_3b', 0, '1_5', 'gg_dia_3b', 'cs_dia_3b', 'cs_a', 'cs_b', 5898384, 0, 65581, 'ダイヤ', 'ダイヤ', 0, 0, 0, 'ha_dia_3b', 270481475, 0, 0, 0, 0, 3
'donn_3a', 0, '1_5', 'gg_donn_3a', 'cs_donn_3a', 'cs_a', 'cs_b', 6357102, 0, 25, 'ドナ', 'ドナ', 0, 0, 0, 'ha_donn_3a', 270481475, 0, 0, 0, 0, 3
'donn_3b', 0, '1_5', 'gg_donn_3b', 'cs_donn_3b', 'cs_a', 'cs_b', 6357102, 0, 65561, 'ドナ', 'ドナ', 0, 0, 0, 'ha_donn_3b', 270481475, 0, 0, 0, 0, 3
'ice_3a', 0, '1_5', 'gg_ice_3a', 'cs_ice_3a', 'cs_a', 'cs_b', 5505182, 0, 19, 'アイス', 'アイス', 0, 0, 0, 'ha_ice_3a', 270481475, 0, 0, 0, 0, 3
'ice_3b', 0, '1_5', 'gg_ice_3b', 'cs_ice_3b', 'cs_a', 'cs_b', 5505182, 0, 65555, 'アイス', 'アイス', 0, 0, 0, 'ha_ice_3b', 270481475, 0, 0, 0, 0, 3
'judy_3a', 0, '1_5', 'gg_judy_3a', 'cs_judy_3a', 'cs_a', 'cs_b', 6357126, 0, 262147, 'ジュディ', 'ジュディ', 0, 0, 0, 'ha_judy_3a', 270481475, 0, 0, 0, 0, 3
'judy_3b', 0, '1_5', 'gg_judy_3b', 'cs_judy_3b', 'cs_a', 'cs_b', 6357126, 0, 327683, 'ジュディ', 'ジュディ', 0, 0, 0, 'ha_judy_3b', 270481475, 0, 0, 0, 0, 3
'kate_3a', 0, '1_5', 'gg_kate_3a', 'cs_kate_3a', 'cs_a', 'cs_b', 4456579, 0, 46, 'ケイト', 'ケイト', 0, 0, 0, 'ha_kate_3a', 270481475, 0, 0, 0, 0, 3
'kate_3b', 0, '1_5', 'gg_kate_3b', 'cs_kate_3b', 'cs_a', 'cs_b', 4456579, 0, 65582, 'ケイト', 'ケイト', 0, 0, 0, 'ha_kate_3b', 270481475, 0, 0, 0, 0, 3
'king_3a', 0, '1_5', 'gg_king_3a', 'cs_king_3a', 'cs_a', 'cs_b', 10158188, 0, 262148, 'キング', 'キング', 0, 0, 0, 'ha_king_3a', 270481475, 0, 0, 0, 0, 3
'king_3b', 0, '1_5', 'gg_king_3b', 'cs_king_3b', 'cs_a', 'cs_b', 10158188, 0, 327684, 'キング', 'キング', 0, 0, 0, 'ha_king_3b', 270481475, 0, 0, 0, 0, 3
'ling_3a', 0, '1_5', 'gg_ling_3a', 'cs_ling_3a', 'cs_a', 'cs_b', 5111933, 0, 50, 'リンリン', 'リンリン', 0, 0, 0, 'ha_ling_3a', 270481475, 0, 0, 0, 0, 3
'ling_3b', 0, '1_5', 'gg_ling_3b', 'cs_ling_3b', 'cs_a', 'cs_b', 5111933, 0, 65586, 'リンリン', 'リンリン', 0, 0, 0, 'ha_ling_3b', 270481475, 0, 0, 0, 0, 3
'mary_3a', 0, '1_5', 'gg_mary_3a', 'cs_mary_3a', 'cs_a', 'cs_b', 6553701, 0, 262146, 'マリィ', 'マリィ', 0, 0, 0, 'ha_mary_3a', 270481475, 0, 0, 0, 0, 3
'mary_3b', 0, '1_5', 'gg_mary_3b', 'cs_mary_3b', 'cs_a', 'cs_b', 6553701, 0, 327682, 'マリィ', 'マリィ', 0, 0, 0, 'ha_mary_3b', 270481475, 0, 0, 0, 0, 3
'megu_3a', 0, '1_5', 'gg_megu_3a', 'cs_megu_3a', 'cs_a', 'cs_b', 7602302, 0, 48, 'メグミ', 'メグミ', 0, 0, 0, 'ha_megu_3a', 270481475, 0, 0, 0, 0, 3
'megu_3b', 0, '1_5', 'gg_megu_3b', 'cs_megu_3b', 'cs_a', 'cs_b', 7602302, 0, 65584, 'メグミ', 'メグミ', 0, 0, 0, 'ha_megu_3b', 270481475, 0, 0, 0, 0, 3
'mimi_3a', 0, '1_5', 'gg_mimi_3a', 'cs_mimi_3a', 'cs_a', 'cs_b', 8061052, 0, 262144, 'ミミ', 'ミミ', 0, 0, 0, 'ha_mimi_3a', 270481475, 0, 0, 0, 0, 3
'mimi_3b', 0, '1_5', 'gg_mimi_3b', 'cs_mimi_3b', 'cs_a', 'cs_b', 8061052, 0, 327680, 'ミミ', 'ミミ', 0, 0, 0, 'ha_mimi_3b', 270481475, 0, 0, 0, 0, 3
'nyam_3a', 0, '1_5', 'gg_nyam_3a', 'cs_nyam_3a', 'cs_a', 'cs_b', 8061049, 0, 262145, 'ニャミ', 'ニャミ', 0, 0, 0, 'ha_nyam_3a', 270481475, 0, 0, 0, 0, 3
'nyam_3b', 0, '1_5', 'gg_nyam_3b', 'cs_nyam_3b', 'cs_a', 'cs_b', 8061049, 0, 327681, 'ニャミ', 'ニャミ', 0, 0, 0, 'ha_nyam_3b', 270481475, 0, 0, 0, 0, 3
'p1p2_3a', 0, '1_5', 'gg_p1p2_3a', 'cs_p1p2_3a', 'cs_a', 'cs_b', 4194398, 0, 49, 'Ｐ−１＆Ｐ−２', 'Ｐ−１＆Ｐ−２', 0, 0, 0, 'ha_p1p2_3a', 270481475, 0, 0, 0, 0, 3
'p1p2_3b', 0, '1_5', 'gg_p1p2_3b', 'cs_p1p2_3b', 'cs_a', 'cs_b', 4194398, 0, 65585, 'Ｐ−１＆Ｐ−２', 'Ｐ−１＆Ｐ−２', 0, 0, 0, 'ha_p1p2_3b', 270481475, 0, 0, 0, 0, 3
'poet_3a', 0, '1_5', 'gg_poet_3a', 'cs_poet_3a', 'cs_a', 'cs_b', 5898353, 0, 10, 'ポエット', 'ポエット', 0, 0, 0, 'ha_poet_3a', 270481475, 0, 0, 0, 0, 3
'poet_3b', 0, '1_5', 'gg_poet_3b', 'cs_poet_3b', 'cs_a', 'cs_b', 5898353, 0, 65546, 'ポエット', 'ポエット', 0, 0, 0, 'ha_poet_3b', 270481475, 0, 0, 0, 0, 3
'rave_3a', 0, '1_5', 'gg_rave_3a', 'cs_rave_3a', 'cs_a', 'cs_b', 8192125, 0, 131081, 'レイヴガール', 'レイヴガール', 0, 0, 0, 'ha_rave_3a', 270481475, 0, 0, 0, 0, 3
'rave_3b', 0, '1_5', 'gg_rave_3b', 'cs_rave_3b', 'cs_a', 'cs_b', 8192125, 0, 196617, 'レイヴガール', 'レイヴガール', 0, 0, 0, 'ha_rave_3b', 270481475, 0, 0, 0, 0, 3
'rie_3a', 0, '1_5', 'gg_rie_3a', 'cs_rie_3a', 'cs_a', 'cs_b', 6815870, 0, 262149, 'リエチャン', 'リエ囿ちゃん', 0, 0, 0, 'ha_rie_3a', 270481475, 0, 0, 0, 0, 3
'rie_3b', 0, '1_5', 'gg_rie_3b', 'cs_rie_3b', 'cs_a', 'cs_b', 6815870, 0, 327685, 'リエチャン', 'リエ囿ちゃん', 0, 0, 0, 'ha_rie_3b', 270481475, 0, 0, 0, 0, 3
'sana_3a', 0, '1_5', 'gg_sana_3a', 'cs_sana_3a', 'cs_a', 'cs_b', 5701727, 0, 262150, 'サナエチャン', 'さなえ囿ちゃん', 0, 0, 0, 'ha_sana_3a', 270481475, 0, 0, 0, 0, 3
'sana_3b', 0, '1_5', 'gg_sana_3b', 'cs_sana_3b', 'cs_a', 'cs_b', 5701727, 0, 327686, 'サナエチャン', 'さなえ囿ちゃん', 0, 0, 0, 'ha_sana_3b', 270481475, 0, 0, 0, 0, 3
